MQ Gas Sensor Data Logger
Press the reset button to start measurements.
1009,521.00,650.00,284.00,532.00
2044,519.00,650.00,283.00,531.00
3047,518.00,650.00,282.00,530.00
4049,516.00,650.00,281.00,530.00
5051,515.00,650.00,280.00,529.00
6053,514.00,649.00,279.00,528.00
7056,512.00,648.00,278.00,527.00
8058,511.00,648.00,276.00,526.00
9061,509.00,648.00,275.00,525.00
10063,508.00,647.00,274.00,524.00
11066,507.00,647.00,273.00,523.00
12068,505.00,646.00,272.00,522.00
13071,504.00,645.00,271.00,521.00
14073,502.00,645.00,270.00,520.00
15076,500.00,645.00,269.00,519.00
16078,499.00,644.00,268.00,518.00
17080,498.00,644.00,267.00,517.00
18082,497.00,644.00,267.00,516.00
19085,496.00,644.00,266.00,515.00
20087,495.00,644.00,265.00,514.00
21090,495.00,646.00,264.00,515.00
22092,494.00,646.00,264.00,515.00
23095,493.00,647.00,263.00,514.00
24097,492.00,647.00,263.00,514.00
25100,491.00,646.00,262.00,513.00
26102,486.00,641.00,259.00,508.00
27105,485.00,641.00,257.00,507.00
28107,483.00,641.00,256.00,506.00
29110,482.00,641.00,256.00,506.00
30112,482.00,641.00,254.00,505.00
31115,480.00,640.00,254.00,504.00
32116,479.00,640.00,253.00,503.00
33119,479.00,640.00,252.00,502.00
34121,478.00,640.00,252.00,501.00
35124,477.00,640.00,251.00,500.00
36126,476.00,639.00,250.00,500.00
37129,475.00,639.00,249.00,499.00
38131,474.00,639.00,249.00,498.00
39134,473.00,639.00,248.00,497.00
40136,472.00,639.00,247.00,497.00
41139,471.00,638.00,247.00,496.00
42141,470.00,638.00,246.00,495.00
43144,469.00,638.00,246.00,494.00
44146,468.00,638.00,245.00,494.00
45149,467.00,638.00,244.00,493.00
46150,466.00,637.00,244.00,492.00
47153,465.00,637.00,243.00,491.00
48155,464.00,637.00,242.00,490.00
49158,463.00,637.00,241.00,490.00
50160,462.00,636.00,241.00,489.00
51163,462.00,636.00,240.00,488.00
52165,461.00,636.00,239.00,487.00
53168,460.00,636.00,239.00,487.00
54170,459.00,636.00,238.00,486.00
55173,458.00,635.00,238.00,485.00
56175,457.00,635.00,237.00,484.00
57178,456.00,635.00,236.00,483.00
58180,455.00,635.00,236.00,483.00
59183,454.00,634.00,235.00,482.00
60185,453.00,634.00,234.00,481.00
61187,452.00,634.00,234.00,480.00
62189,452.00,633.00,233.00,480.00
63192,451.00,633.00,232.00,479.00
64194,450.00,633.00,232.00,478.00
65197,449.00,633.00,231.00,477.00
66199,448.00,632.00,231.00,477.00
67202,447.00,632.00,230.00,476.00
68204,446.00,632.00,229.00,475.00
69207,446.00,632.00,229.00,474.00
70209,445.00,631.00,228.00,473.00
71212,444.00,631.00,228.00,473.00
72214,443.00,631.00,227.00,472.00
73217,442.00,631.00,226.00,471.00
74219,442.00,630.00,226.00,471.00
75220,441.00,630.00,225.00,470.00
76223,440.00,629.00,224.00,469.00
77225,439.00,629.00,224.00,469.00
78228,438.00,629.00,223.00,468.00
79230,437.00,629.00,223.00,467.00
80233,436.00,628.00,222.00,466.00
81235,436.00,628.00,222.00,466.00
82238,435.00,628.00,221.00,465.00
83240,434.00,627.00,220.00,464.00
84243,433.00,627.00,220.00,464.00
85245,432.00,626.00,219.00,463.00
86248,431.00,626.00,219.00,462.00
87250,430.00,626.00,218.00,462.00
88253,430.00,625.00,218.00,461.00
89254,429.00,625.00,217.00,460.00
90257,428.00,625.00,217.00,460.00
91259,428.00,624.00,216.00,459.00
92262,427.00,624.00,216.00,458.00
93264,426.00,624.00,215.00,458.00
94267,426.00,623.00,215.00,457.00
95269,425.00,623.00,214.00,457.00
96272,424.00,623.00,214.00,456.00
97274,423.00,622.00,213.00,455.00
98277,423.00,622.00,212.00,455.00
99279,422.00,622.00,212.00,454.00
100282,421.00,621.00,211.00,453.00
101284,421.00,621.00,211.00,453.00
102287,420.00,621.00,210.00,452.00
103289,419.00,620.00,210.00,452.00
104292,419.00,620.00,209.00,451.00
105294,418.00,620.00,209.00,450.00
106297,417.00,619.00,208.00,450.00
107299,417.00,619.00,208.00,449.00
108302,416.00,619.00,207.00,448.00
109303,416.00,619.00,207.00,448.00
